"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"STR_OZ_MOD_NAME","OpenZone","OpenZone","OpenZone","OpenZone","OpenZone","OpenZone","OpenZone","OpenZone","OpenZone","OpenZone","OpenZone","OpenZone","OpenZone","OpenZone",
"STR_OZ_ERR_NO_PAGE","Цей екран недоступний","This screen is not available","Цей екран недоступний","Цей екран недоступний","Цей екран недоступний","Цей екран недоступний","Цей екран недоступний","Цей екран недоступний","Цей екран недоступний","Цей екран недоступний","Цей екран недоступний","Цей екран недоступний","Цей екран недоступний","Цей екран недоступний",
"STR_OZ_ERR_NO_ACCESS","У вашому пристрої немає цього екрана","Your device does not have this screen","У вашому пристрої немає цього екрана","У вашому пристрої немає цього екрана","У вашому пристрої немає цього екрана","У вашому пристрої немає цього екрана","У вашому пристрої немає цього екрана","У вашому пристрої немає цього екрана","У вашому пристрої немає цього екрана","У вашому пристрої немає цього екрана","У вашому пристрої немає цього екрана","У вашому пристрої немає цього екрана","У вашому пристрої немає цього екрана","У вашому пристрої немає цього екрана",
"STR_OZ_ERR_UNKNOWN_OP","Невідомий запит","Unknown request","Невідомий запит","Невідомий запит","Невідомий запит","Невідомий запит","Невідомий запит","Невідомий запит","Невідомий запит","Невідомий запит","Невідомий запит","Невідомий запит","Невідомий запит","Невідомий запит",
"STR_OZ_ERR_INTERNAL","Внутрішня помилка","Internal error","Внутрішня помилка","Внутрішня помилка","Внутрішня помилка","Внутрішня помилка","Внутрішня помилка","Внутрішня помилка","Внутрішня помилка","Внутрішня помилка","Внутрішня помилка","Внутрішня помилка","Внутрішня помилка","Внутрішня помилка",
"STR_OZ_GATE_TITLE","Потрібен акаунт Discord","Discord account required","Потрібен акаунт Discord","Потрібен акаунт Discord","Потрібен акаунт Discord","Потрібен акаунт Discord","Потрібен акаунт Discord","Потрібен акаунт Discord","Потрібен акаунт Discord","Потрібен акаунт Discord","Потрібен акаунт Discord","Потрібен акаунт Discord","Потрібен акаунт Discord","Потрібен акаунт Discord",
"STR_OZ_GATE_WHY","Цей сервер тримає ваше угруповання, ранг і розмови в Discord. Прив'яжіть акаунт один раз - і Зона знатиме, хто ви.","This server keeps your faction, rank and conversations in Discord. Link your account once and the Zone will know who you are.","Цей сервер тримає ваше угруповання, ранг і розмови в Discord. Прив'яжіть акаунт один раз - і Зона знатиме, хто ви.","Цей сервер тримає ваше угруповання, ранг і розмови в Discord. Прив'яжіть акаунт один раз - і Зона знатиме, хто ви.","Цей сервер тримає ваше угруповання, ранг і розмови в Discord. Прив'яжіть акаунт один раз - і Зона знатиме, хто ви.","Цей сервер тримає ваше угруповання, ранг і розмови в Discord. Прив'яжіть акаунт один раз - і Зона знатиме, хто ви.","Цей сервер тримає ваше угруповання, ранг і розмови в Discord. Прив'яжіть акаунт один раз - і Зона знатиме, хто ви.","Цей сервер тримає ваше угруповання, ранг і розмови в Discord. Прив'яжіть акаунт один раз - і Зона знатиме, хто ви.","Цей сервер тримає ваше угруповання, ранг і розмови в Discord. Прив'яжіть акаунт один раз - і Зона знатиме, хто ви.","Цей сервер тримає ваше угруповання, ранг і розмови в Discord. Прив'яжіть акаунт один раз - і Зона знатиме, хто ви.","Цей сервер тримає ваше угруповання, ранг і розмови в Discord. Прив'яжіть акаунт один раз - і Зона знатиме, хто ви.","Цей сервер тримає ваше угруповання, ранг і розмови в Discord. Прив'яжіть акаунт один раз - і Зона знатиме, хто ви.","Цей сервер тримає ваше угруповання, ранг і розмови в Discord. Прив'яжіть акаунт один раз - і Зона знатиме, хто ви.","Цей сервер тримає ваше угруповання, ранг і розмови в Discord. Прив'яжіть акаунт один раз - і Зона знатиме, хто ви.",
"STR_OZ_GATE_GET","ОТРИМАТИ КОД","GET A CODE","ОТРИМАТИ КОД","ОТРИМАТИ КОД","ОТРИМАТИ КОД","ОТРИМАТИ КОД","ОТРИМАТИ КОД","ОТРИМАТИ КОД","ОТРИМАТИ КОД","ОТРИМАТИ КОД","ОТРИМАТИ КОД","ОТРИМАТИ КОД","ОТРИМАТИ КОД","ОТРИМАТИ КОД",
"STR_OZ_GATE_WAITING","Введіть це в Discord. Щойно пройде - вікно закриється саме.","Type that in Discord. This window closes by itself the moment it goes through.","Введіть це в Discord. Щойно пройде - вікно закриється саме.","Введіть це в Discord. Щойно пройде - вікно закриється саме.","Введіть це в Discord. Щойно пройде - вікно закриється саме.","Введіть це в Discord. Щойно пройде - вікно закриється саме.","Введіть це в Discord. Щойно пройде - вікно закриється саме.","Введіть це в Discord. Щойно пройде - вікно закриється саме.","Введіть це в Discord. Щойно пройде - вікно закриється саме.","Введіть це в Discord. Щойно пройде - вікно закриється саме.","Введіть це в Discord. Щойно пройде - вікно закриється саме.","Введіть це в Discord. Щойно пройде - вікно закриється саме.","Введіть це в Discord. Щойно пройде - вікно закриється саме.","Введіть це в Discord. Щойно пройде - вікно закриється саме.",
"STR_OZ_LINK_ASKING","Запитуємо код у мережі...","Asking the network for a code...","Запитуємо код у мережі...","Запитуємо код у мережі...","Запитуємо код у мережі...","Запитуємо код у мережі...","Запитуємо код у мережі...","Запитуємо код у мережі...","Запитуємо код у мережі...","Запитуємо код у мережі...","Запитуємо код у мережі...","Запитуємо код у мережі...","Запитуємо код у мережі...","Запитуємо код у мережі...",
"STR_OZ_ERR_ALREADY_LINKED","Цей акаунт уже прив'язано.","This account is already linked.","Цей акаунт уже прив'язано.","Цей акаунт уже прив'язано.","Цей акаунт уже прив'язано.","Цей акаунт уже прив'язано.","Цей акаунт уже прив'язано.","Цей акаунт уже прив'язано.","Цей акаунт уже прив'язано.","Цей акаунт уже прив'язано.","Цей акаунт уже прив'язано.","Цей акаунт уже прив'язано.","Цей акаунт уже прив'язано.","Цей акаунт уже прив'язано.",
"STR_OZ_ERR_NO_BRIDGE","Немає зв'язку з мережею.","No link to the network.","Немає зв'язку з мережею.","Немає зв'язку з мережею.","Немає зв'язку з мережею.","Немає зв'язку з мережею.","Немає зв'язку з мережею.","Немає зв'язку з мережею.","Немає зв'язку з мережею.","Немає зв'язку з мережею.","Немає зв'язку з мережею.","Немає зв'язку з мережею.","Немає зв'язку з мережею.","Немає зв'язку з мережею.",
"STR_OZ_ERR_NO_TARGET","Нікого не вибрано.","Nobody selected.","Нікого не вибрано.","Нікого не вибрано.","Нікого не вибрано.","Нікого не вибрано.","Нікого не вибрано.","Нікого не вибрано.","Нікого не вибрано.","Нікого не вибрано.","Нікого не вибрано.","Нікого не вибрано.","Нікого не вибрано.","Нікого не вибрано.",
"STR_OZ_ERR_ADMIN_ONLY","Це може лише адмін.","Only an administrator can do that.","Це може лише адмін.","Це може лише адмін.","Це може лише адмін.","Це може лише адмін.","Це може лише адмін.","Це може лише адмін.","Це може лише адмін.","Це може лише адмін.","Це може лише адмін.","Це може лише адмін.","Це може лише адмін.","Це може лише адмін.",
"STR_OZ_ROLE_DONE","Готово. Discord це має.","Done. Discord has it.","Готово. Discord це має.","Готово. Discord це має.","Готово. Discord це має.","Готово. Discord це має.","Готово. Discord це має.","Готово. Discord це має.","Готово. Discord це має.","Готово. Discord це має.","Готово. Discord це має.","Готово. Discord це має.","Готово. Discord це має.","Готово. Discord це має.",
"STR_OZ_ERR_NO_FACTION","Такого угруповання немає.","No such faction.","Такого угруповання немає.","Такого угруповання немає.","Такого угруповання немає.","Такого угруповання немає.","Такого угруповання немає.","Такого угруповання немає.","Такого угруповання немає.","Такого угруповання немає.","Такого угруповання немає.","Такого угруповання немає.","Такого угруповання немає.","Такого угруповання немає.",
"STR_OZ_ERR_NO_ZONE","Для цієї ролі немає зони.","No zone for that role.","Для цієї ролі немає зони.","Для цієї ролі немає зони.","Для цієї ролі немає зони.","Для цієї ролі немає зони.","Для цієї ролі немає зони.","Для цієї ролі немає зони.","Для цієї ролі немає зони.","Для цієї ролі немає зони.","Для цієї ролі немає зони.","Для цієї ролі немає зони.","Для цієї ролі немає зони.","Для цієї ролі немає зони.",
"STR_OZ_ERR_BAD_RADIUS","Радіус має бути числом, у метрах.","Radius must be a number, in metres.","Радіус має бути числом, у метрах.","Радіус має бути числом, у метрах.","Радіус має бути числом, у метрах.","Радіус має бути числом, у метрах.","Радіус має бути числом, у метрах.","Радіус має бути числом, у метрах.","Радіус має бути числом, у метрах.","Радіус має бути числом, у метрах.","Радіус має бути числом, у метрах.","Радіус має бути числом, у метрах.","Радіус має бути числом, у метрах.","Радіус має бути числом, у метрах.",
"STR_OZ_ERR_NO_ZONE_ARG","Вкажіть зону: слаг угруповання, - для запасної або * для зони очікування.","Say which zone: a faction slug, - for the fallback, or * for staging.","Вкажіть зону: слаг угруповання, - для запасної або * для зони очікування.","Вкажіть зону: слаг угруповання, - для запасної або * для зони очікування.","Вкажіть зону: слаг угруповання, - для запасної або * для зони очікування.","Вкажіть зону: слаг угруповання, - для запасної або * для зони очікування.","Вкажіть зону: слаг угруповання, - для запасної або * для зони очікування.","Вкажіть зону: слаг угруповання, - для запасної або * для зони очікування.","Вкажіть зону: слаг угруповання, - для запасної або * для зони очікування.","Вкажіть зону: слаг угруповання, - для запасної або * для зони очікування.","Вкажіть зону: слаг угруповання, - для запасної або * для зони очікування.","Вкажіть зону: слаг угруповання, - для запасної або * для зони очікування.","Вкажіть зону: слаг угруповання, - для запасної або * для зони очікування.","Вкажіть зону: слаг угруповання, - для запасної або * для зони очікування.",
"STR_OZ_ERR_NO_SUCH_CFG","Такого конфіга немає","No such config","Такого конфіга немає","Такого конфіга немає","Такого конфіга немає","Такого конфіга немає","Такого конфіга немає","Такого конфіга немає","Такого конфіга немає","Такого конфіга немає","Такого конфіга немає","Такого конфіга немає","Такого конфіга немає","Такого конфіга немає",
"STR_OZ_ERR_CFG_REJECTED","Текст конфіга не розбирається - нічого не змінено","Config text does not parse - nothing was changed","Текст конфіга не розбирається - нічого не змінено","Текст конфіга не розбирається - нічого не змінено","Текст конфіга не розбирається - нічого не змінено","Текст конфіга не розбирається - нічого не змінено","Текст конфіга не розбирається - нічого не змінено","Текст конфіга не розбирається - нічого не змінено","Текст конфіга не розбирається - нічого не змінено","Текст конфіга не розбирається - нічого не змінено","Текст конфіга не розбирається - нічого не змінено","Текст конфіга не розбирається - нічого не змінено","Текст конфіга не розбирається - нічого не змінено","Текст конфіга не розбирається - нічого не змінено",
